D:\car_data\IMG\center_2019_12_20_09_52_46_839.jpg,D:\car_data\IMG\left_2019_12_20_09_52_46_839.jpg,D:\car_data\IMG\right_2019_12_20_09_52_46_839.jpg,0,0,0,5.955594
D:\car_data\IMG\center_2019_12_20_09_52_46_936.jpg,D:\car_data\IMG\left_2019_12_20_09_52_46_936.jpg,D:\car_data\IMG\right_2019_12_20_09_52_46_936.jpg,0,0,0,5.802773
D:\car_data\IMG\center_2019_12_20_09_52_47_032.jpg,D:\car_data\IMG\left_2019_12_20_09_52_47_032.jpg,D:\car_data\IMG\right_2019_12_20_09_52_47_032.jpg,0,0,0,5.655245
D:\car_data\IMG\center_2019_12_20_09_52_47_125.jpg,D:\car_data\IMG\left_2019_12_20_09_52_47_125.jpg,D:\car_data\IMG\right_2019_12_20_09_52_47_125.jpg,0,0,0,5.543366
D:\car_data\IMG\center_2019_12_20_09_52_47_223.jpg,D:\car_data\IMG\left_2019_12_20_09_52_47_223.jpg,D:\car_data\IMG\right_2019_12_20_09_52_47_223.jpg,0,0,0,5.466638
D:\car_data\IMG\center_2019_12_20_09_52_47_320.jpg,D:\car_data\IMG\left_2019_12_20_09_52_47_320.jpg,D:\car_data\IMG\right_2019_12_20_09_52_47_320.jpg,0,0,0,5.373374
D:\car_data\IMG\center_2019_12_20_09_52_47_417.jpg,D:\car_data\IMG\left_2019_12_20_09_52_47_417.jpg,D:\car_data\IMG\right_2019_12_20_09_52_47_417.jpg,0,0,0,5.28203
D:\car_data\IMG\center_2019_12_20_09_52_47_516.jpg,D:\car_data\IMG\left_2019_12_20_09_52_47_516.jpg,D:\car_data\IMG\right_2019_12_20_09_52_47_516.jpg,-0.15,0,0,5.198154
D:\car_data\IMG\center_2019_12_20_09_52_47_612.jpg,D:\car_data\IMG\left_2019_12_20_09_52_47_612.jpg,D:\car_data\IMG\right_2019_12_20_09_52_47_612.jpg,-0.4,0,0,5.127395
D:\car_data\IMG\center_2019_12_20_09_52_47_709.jpg,D:\car_data\IMG\left_2019_12_20_09_52_47_709.jpg,D:\car_data\IMG\right_2019_12_20_09_52_47_709.jpg,-0.6500001,0,0,5.066369
D:\car_data\IMG\center_2019_12_20_09_52_47_806.jpg,D:\car_data\IMG\left_2019_12_20_09_52_47_806.jpg,D:\car_data\IMG\right_2019_12_20_09_52_47_806.jpg,-0.9000002,0,0,5.015139
D:\car_data\IMG\center_2019_12_20_09_52_47_904.jpg,D:\car_data\IMG\left_2019_12_20_09_52_47_904.jpg,D:\car_data\IMG\right_2019_12_20_09_52_47_904.jpg,-1,0,0,4.989592
D:\car_data\IMG\center_2019_12_20_09_52_48_002.jpg,D:\car_data\IMG\left_2019_12_20_09_52_48_002.jpg,D:\car_data\IMG\right_2019_12_20_09_52_48_002.jpg,0,0,0,4.774094
D:\car_data\IMG\center_2019_12_20_09_52_48_101.jpg,D:\car_data\IMG\left_2019_12_20_09_52_48_101.jpg,D:\car_data\IMG\right_2019_12_20_09_52_48_101.jpg,0,0,0,4.716817
D:\car_data\IMG\center_2019_12_20_09_52_48_195.jpg,D:\car_data\IMG\left_2019_12_20_09_52_48_195.jpg,D:\car_data\IMG\right_2019_12_20_09_52_48_195.jpg,0,0.2813205,0,4.859465
D:\car_data\IMG\center_2019_12_20_09_52_48_262.jpg,D:\car_data\IMG\left_2019_12_20_09_52_48_262.jpg,D:\car_data\IMG\right_2019_12_20_09_52_48_262.jpg,0,0.481794,0,5.121289
D:\car_data\IMG\center_2019_12_20_09_52_48_330.jpg,D:\car_data\IMG\left_2019_12_20_09_52_48_330.jpg,D:\car_data\IMG\right_2019_12_20_09_52_48_330.jpg,0,0.683631,0,5.683104
D:\car_data\IMG\center_2019_12_20_09_52_48_396.jpg,D:\car_data\IMG\left_2019_12_20_09_52_48_396.jpg,D:\car_data\IMG\right_2019_12_20_09_52_48_396.jpg,0,0.8840877,0,6.252453
D:\car_data\IMG\center_2019_12_20_09_52_48_465.jpg,D:\car_data\IMG\left_2019_12_20_09_52_48_465.jpg,D:\car_data\IMG\right_2019_12_20_09_52_48_465.jpg,0,1,0,7.152354
D:\car_data\IMG\center_2019_12_20_09_52_48_564.jpg,D:\car_data\IMG\left_2019_12_20_09_52_48_564.jpg,D:\car_data\IMG\right_2019_12_20_09_52_48_564.jpg,0,1,0,8.057421
D:\car_data\IMG\center_2019_12_20_09_52_48_632.jpg,D:\car_data\IMG\left_2019_12_20_09_52_48_632.jpg,D:\car_data\IMG\right_2019_12_20_09_52_48_632.jpg,0,1,0,8.955501
D:\car_data\IMG\center_2019_12_20_09_52_48_730.jpg,D:\car_data\IMG\left_2019_12_20_09_52_48_730.jpg,D:\car_data\IMG\right_2019_12_20_09_52_48_730.jpg,0,1,0,10.06814
D:\car_data\IMG\center_2019_12_20_09_52_48_824.jpg,D:\car_data\IMG\left_2019_12_20_09_52_48_824.jpg,D:\car_data\IMG\right_2019_12_20_09_52_48_824.jpg,0,0.9032617,0,10.93262
D:\car_data\IMG\center_2019_12_20_09_52_48_929.jpg,D:\car_data\IMG\left_2019_12_20_09_52_48_929.jpg,D:\car_data\IMG\right_2019_12_20_09_52_48_929.jpg,0,0.5977777,0,11.4191
D:\car_data\IMG\center_2019_12_20_09_52_48_994.jpg,D:\car_data\IMG\left_2019_12_20_09_52_48_994.jpg,D:\car_data\IMG\right_2019_12_20_09_52_48_994.jpg,0,0.3970933,0,11.82108
D:\car_data\IMG\center_2019_12_20_09_52_49_091.jpg,D:\car_data\IMG\left_2019_12_20_09_52_49_091.jpg,D:\car_data\IMG\right_2019_12_20_09_52_49_091.jpg,0,0.1056207,0,12.33766
D:\car_data\IMG\center_2019_12_20_09_52_49_187.jpg,D:\car_data\IMG\left_2019_12_20_09_52_49_187.jpg,D:\car_data\IMG\right_2019_12_20_09_52_49_187.jpg,-0.25,0,0,12.20521
D:\car_data\IMG\center_2019_12_20_09_52_49_285.jpg,D:\car_data\IMG\left_2019_12_20_09_52_49_285.jpg,D:\car_data\IMG\right_2019_12_20_09_52_49_285.jpg,-0.45,0,0,11.96073
D:\car_data\IMG\center_2019_12_20_09_52_49_379.jpg,D:\car_data\IMG\left_2019_12_20_09_52_49_379.jpg,D:\car_data\IMG\right_2019_12_20_09_52_49_379.jpg,-0.7,0,0,11.5244
D:\car_data\IMG\center_2019_12_20_09_52_49_478.jpg,D:\car_data\IMG\left_2019_12_20_09_52_49_478.jpg,D:\car_data\IMG\right_2019_12_20_09_52_49_478.jpg,-0.9500002,0,0,11.37525
D:\car_data\IMG\center_2019_12_20_09_52_49_577.jpg,D:\car_data\IMG\left_2019_12_20_09_52_49_577.jpg,D:\car_data\IMG\right_2019_12_20_09_52_49_577.jpg,-1,0,0,11.17387
D:\car_data\IMG\center_2019_12_20_09_52_49_643.jpg,D:\car_data\IMG\left_2019_12_20_09_52_49_643.jpg,D:\car_data\IMG\right_2019_12_20_09_52_49_643.jpg,-1,0,0,11.10681
D:\car_data\IMG\center_2019_12_20_09_52_49_718.jpg,D:\car_data\IMG\left_2019_12_20_09_52_49_718.jpg,D:\car_data\IMG\right_2019_12_20_09_52_49_718.jpg,-1,0,0,11.06003
D:\car_data\IMG\center_2019_12_20_09_52_49_815.jpg,D:\car_data\IMG\left_2019_12_20_09_52_49_815.jpg,D:\car_data\IMG\right_2019_12_20_09_52_49_815.jpg,0,0,0,10.95794
D:\car_data\IMG\center_2019_12_20_09_52_49_883.jpg,D:\car_data\IMG\left_2019_12_20_09_52_49_883.jpg,D:\car_data\IMG\right_2019_12_20_09_52_49_883.jpg,0,0,0,10.78554
D:\car_data\IMG\center_2019_12_20_09_52_49_952.jpg,D:\car_data\IMG\left_2019_12_20_09_52_49_952.jpg,D:\car_data\IMG\right_2019_12_20_09_52_49_952.jpg,0,0,0,10.66399
D:\car_data\IMG\center_2019_12_20_09_52_50_019.jpg,D:\car_data\IMG\left_2019_12_20_09_52_50_019.jpg,D:\car_data\IMG\right_2019_12_20_09_52_50_019.jpg,0,0,0,10.61495
